No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年04月,980,全国,27802147,196416,141.55,460.763,3.255,196.61,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年05月,980,全国,27517495,193775,142.01,441.208,3.107,193.97,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年06月,980,全国,19110897,121094,157.82,318.643,2.019,121.22,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年07月,980,全国,26125147,169854,153.81,412.545,2.682,170.02,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年08月,980,全国,29434792,185228,158.91,460.708,2.899,185.41,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年09月,980,全国,29439293,194825,151.11,484.527,3.207,195.02,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年10月,980,全国,26569840,172352,154.16,424.089,2.751,172.52,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年11月,980,全国,25588254,166922,153.29,433.637,2.829,167.09,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年12月,980,全国,25409319,163463,155.44,390.222,2.510,163.79,99.70%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年01月,980,全国,20612784,154050,133.81,378.971,2.832,163.71,94.01%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年02月,980,全国,17555984,129580,135.48,337.705,2.493,137.41,94.21%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年03月,980,全国,23218962,172524,134.58,396.844,2.949,181.41,95.00%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年04月,980,全国,22470567,171122,131.31,387.979,2.955,179.75,95.10%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年05月,980,全国,25019157,191662,130.54,419.304,3.212,201.33,95.10%
